id,repo,prNumber,provenance,evidence,language,changedLines,sizeBucket,emptyBody,nQuestions,realMean,syntheticMean,realPctExplicit,syntheticPctExplicit,gap
apache_airflow__67317,apache/airflow,67317,human,none,Go,2231,500+,false,3,1,0.6667,33.3333,33.3333,0.3333
apache_airflow__67333,apache/airflow,67333,agent,agent-trailer,Python,729,500+,false,3,2,1.3333,100,33.3333,0.6667
apache_airflow__67389,apache/airflow,67389,human,none,Python,659,500+,false,3,1.3333,1,33.3333,0,0.3333
apache_airflow__67662,apache/airflow,67662,agent,agent-trailer,Python,117,50-149,false,3,1.6667,1.6667,66.6667,66.6667,0
apache_airflow__67667,apache/airflow,67667,human,none,Python,122,50-149,false,3,1.6667,2,66.6667,100,-0.3333
apache_airflow__67681,apache/airflow,67681,human,none,YAML,31,20-49,false,3,0,1.6667,0,66.6667,-1.6667
apache_airflow__68049,apache/airflow,68049,human,none,Python,104,50-149,false,4,1.5000,2,75,100,-0.5000
apache_airflow__68059,apache/airflow,68059,agent,agent-trailer,Python,100,50-149,false,4,1,1,50,50,0
apache_airflow__68109,apache/airflow,68109,agent,agent-trailer,Python,316,150-499,false,3,0.3333,1.6667,0,66.6667,-1.3333
apache_airflow__68133,apache/airflow,68133,human,none,Python,134,50-149,true,4,0,2,0,100,-2
apache_airflow__68283,apache/airflow,68283,human,none,Python,683,500+,false,4,1,1,25,25,0
apache_airflow__68336,apache/airflow,68336,agent,agent-trailer,Python,81,50-149,false,3,1.3333,2,33.3333,100,-0.6667
apache_airflow__68368,apache/airflow,68368,agent,agent-trailer,Python,965,500+,false,3,1.6667,1.6667,66.6667,66.6667,0
apache_airflow__68385,apache/airflow,68385,agent,agent-trailer,JSON,214,150-499,false,3,0,0,0,0,0
apache_airflow__68492,apache/airflow,68492,human,none,Python,151,150-499,false,3,1.6667,1.3333,66.6667,33.3333,0.3333
apache_airflow__68497,apache/airflow,68497,agent,agent-trailer,Python,1312,500+,false,3,1,2,0,100,-1
apache_airflow__68506,apache/airflow,68506,human,none,Python,115,50-149,false,3,1.3333,2,33.3333,100,-0.6667
apache_airflow__68591,apache/airflow,68591,agent,agent-trailer,Python,258,150-499,false,3,2,2,100,100,0
apache_airflow__68616,apache/airflow,68616,agent,agent-trailer,Python,149,50-149,false,3,0,1,0,33.3333,-1
apache_airflow__68671,apache/airflow,68671,human,none,Python,227,150-499,false,3,0.3333,2,0,100,-1.6667
apache_airflow__68702,apache/airflow,68702,human,none,Python,2596,500+,false,4,1,0.7500,50,0,0.2500
apache_airflow__68743,apache/airflow,68743,agent,agent-trailer,JSON,418,150-499,false,3,0.3333,0.6667,0,0,-0.3333
apache_airflow__68882,apache/airflow,68882,agent,agent-trailer,Python,113,50-149,false,3,1.6667,1.3333,66.6667,33.3333,0.3333
apache_airflow__68916,apache/airflow,68916,human,none,Python,111,50-149,false,4,1,2,25,100,-1
apache_airflow__69283,apache/airflow,69283,agent,agent-trailer,Python,114,50-149,false,3,1.6667,2,66.6667,100,-0.3333
apache_airflow__69307,apache/airflow,69307,human,none,Python,72,50-149,false,3,1.6667,1.6667,66.6667,66.6667,0
apache_airflow__69328,apache/airflow,69328,human,none,Python,386,150-499,false,3,0.6667,1.3333,0,33.3333,-0.6667
